reserve,impressions,demand_factor,WE,WF,revenue_mean
112,2000,0.75,0,8,5.217836912341668
113,2000,0.75,1,7,3.716287500000005
114,2000,0.75,0,8,3.8743204926050328
115,2000,0.75,0,8,2.9842500000000007
116,2000,0.75,0,8,2.5781000000000023
117,2000,0.75,5,3,1.9060509038842919
118,2000,0.75,0,8,1.6223156250000008
119,2000,0.75,4,4,1.3454437499999992
120,2000,0.75,1,7,0.9660000000000007
121,2000,0.75,8,0,0.6609900923832859
122,2000,0.75,5,3,0.6555593749999997
123,2000,0.75,0,8,0.3568921874999998
124,2000,0.75,3,5,0.3851750000000004
125,2000,0.75,4,4,0.277734375
126,2000,0.75,5,3,0.2175468750000001
127,2000,0.75,2,6,0.178196875
128,2000,0.75,6,2,0.09800000000000003
129,2000,0.75,5,3,0.09695156250000003
130,2000,0.75,0,8,0.05524999999999995
0,2000,1.0,1,7,5.139046344744411
1,2000,1.0,3,5,11.925105590319983
2,2000,1.0,2,6,10.632059619636273
3,2000,1.0,1,7,10.031738720223762
4,2000,1.0,1,7,11.725943804367962
5,2000,1.0,1,7,14.053431767066682
6,2000,1.0,2,6,17.589571648511107
7,2000,1.0,2,6,18.515036523963907
8,2000,1.0,2,6,20.95894551368518
9,2000,1.0,2,6,22.41152825741365
10,2000,1.0,1,7,22.286689890413623
11,2000,1.0,2,6,25.48038082333112
12,2000,1.0,2,6,27.172442390123447
13,2000,1.0,2,6,28.163078154579768
14,2000,1.0,2,6,29.936635447010985
15,2000,1.0,1,7,29.46888417605169
16,2000,1.0,2,6,31.63474053714975
17,2000,1.0,2,6,32.90492292110521
18,2000,1.0,1,7,32.6377496107945
19,2000,1.0,1,7,33.89588215526646
20,2000,1.0,1,7,35.133030447894676
21,2000,1.0,1,7,36.156138493811056
22,2000,1.0,0,8,36.02279760594249
23,2000,1.0,1,7,38.19146983628893
24,2000,1.0,0,8,38.43755920763797
25,2000,1.0,0,8,38.47057950001006
26,2000,1.0,0,8,39.487481793720754
27,2000,1.0,0,8,40.7268351782759
28,2000,1.0,0,8,41.002064158202174
29,2000,1.0,0,8,41.01617932377501
30,2000,1.0,0,8,42.88152952909464
31,2000,1.0,0,8,43.79152156410509
32,2000,1.0,0,8,43.757484390369704
33,2000,1.0,0,8,45.12119282761397
34,2000,1.0,0,8,43.21838300712483
35,2000,1.0,0,8,44.31593687401364
36,2000,1.0,0,8,46.08663185252373
37,2000,1.0,0,8,45.85155030989742
38,2000,1.0,0,8,44.928583977868655
39,2000,1.0,0,8,45.74722325057918
40,2000,1.0,0,8,46.8287505971355
41,2000,1.0,0,8,46.52145323646131
42,2000,1.0,0,8,46.05792369901146
43,2000,1.0,0,8,48.42234496162651
44,2000,1.0,0,8,47.45920999456406
45,2000,1.0,0,8,48.018804533313435
46,2000,1.0,0,8,47.67591493543272
47,2000,1.0,0,8,47.77621777267607
48,2000,1.0,0,8,47.75937049243605
49,2000,1.0,0,8,47.61234344334074
50,2000,1.0,0,8,46.95832641413135
51,2000,1.0,0,8,49.766522866202926
52,2000,1.0,0,8,49.047402572451894
53,2000,1.0,0,8,49.979190085672705
54,2000,1.0,0,8,49.03700015392233
55,2000,1.0,0,8,48.65022401778643
56,2000,1.0,0,8,49.280137051447724
57,2000,1.0,0,8,49.11590701543392
58,2000,1.0,0,8,48.39575020668046
59,2000,1.0,0,8,48.682128402192106
60,2000,1.0,0,8,48.732315088208466
61,2000,1.0,0,8,48.66794983471424
62,2000,1.0,0,8,47.61363892521283
63,2000,1.0,0,8,48.65199588260086
64,2000,1.0,0,8,49.4798352392941
65,2000,1.0,0,8,48.02638302014464
66,2000,1.0,0,8,49.11279442553408
67,2000,1.0,0,8,47.5492266835814
68,2000,1.0,0,8,50.31693628008654
69,2000,1.0,0,8,50.45773391209181
70,2000,1.0,0,8,49.09965967369501
71,2000,1.0,0,8,49.27923155893065
72,2000,1.0,0,8,48.92067478480475
73,2000,1.0,0,8,49.88753649702338
74,2000,1.0,0,8,47.926795685956066
75,2000,1.0,0,8,49.719498406357005
76,2000,1.0,0,8,49.1995813206174
77,2000,1.0,0,8,50.36498480949819
78,2000,1.0,0,8,49.37699114886323
79,2000,1.0,0,8,49.40266326729326
80,2000,1.0,0,8,48.85673378555715
81,2000,1.0,0,8,49.82493006701088
82,2000,1.0,0,8,49.54259099767378
83,2000,1.0,0,8,46.359302547830076
84,2000,1.0,0,8,47.71708707717165
85,2000,1.0,0,8,47.68400262017589
86,2000,1.0,0,8,46.0511535405973
87,2000,1.0,0,8,46.74278273814768
88,2000,1.0,0,8,45.23036145997243
89,2000,1.0,0,8,42.200071744763186
90,2000,1.0,0,8,44.5106633571128
91,2000,1.0,0,8,41.65108588891372
